Nombre;URL;Precio;Area;Habitaciones;Baños
Apartamento en Venta, MARLY CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-1-banos/465-M4940604;$220.000.000;33.36 m²;2;1
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-sur-occidental-2-habitaciones-2-banos/11109-M3466982;$220.000.000;55 m²;2;2
Apartamento en Venta, SAN LUIS CHAPINERO Chicó, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-luis-2-habitaciones-1-banos/MC4704554;$235.000.000;52 m²;2;1
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-1-banos-1-garajes/3229-M4741644;$250.000.000;52.15 m²;2;1
Apartamento en Venta, BENJAMIN HERRERA Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-benjamin-herrera-2-habitaciones-2-banos/MC4883661;$260.000.000;105 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-pardo-rubio-2-habitaciones-3-banos-1-garajes/3147-M4668106;$260.000.000;45 m²;2;3
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-1-banos-1-garajes/4186-M4789382;$260.000.000;45 m²;2;1
Apartamento en Venta, CHAPINERO NORTE Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-1-banos/MC4723595;$260.000.000;49 m²;2;1
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-1-banos-1-garajes/16430-M4958015;$265.000.000;45 m²;2;1
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-1-banos-1-garajes/223-11337;$265.000.000;48 m²;2;1
Apartamento en Venta, CHAPINERO ALTO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-cataluna-2-habitaciones-1-banos-1-garajes/3312-M4466583;$270.000.000;56 m²;2;1
Apartamento en Venta, BELALCAZAR Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-belalcazar-2-habitaciones-1-banos-1-garajes/MC4955795;$272.000.000;44.93 m²;2;1
